,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Athletico–PR,28,27.7,48.4,18,198,1620,18.0,24,17,41,21,3,4,39,2,1.33,0.94,2.28,1.17,2.11
Atlético Mineiro,26,28.7,48.2,18,198,1620,18.0,21,14,35,19,2,2,30,3,1.17,0.78,1.94,1.06,1.83
Bahia,29,28.9,54.4,17,187,1530,17.0,23,12,35,20,3,5,42,2,1.35,0.71,2.06,1.18,1.88
Botafogo–RJ,33,27.7,47.3,17,187,1530,17.0,31,20,51,29,2,2,48,3,1.82,1.18,3.00,1.71,2.88
Chapecoense,31,30.3,43.3,17,187,1530,17.0,16,11,27,14,2,3,40,2,0.94,0.65,1.59,0.82,1.47
Corinthians,29,28.3,54.4,18,198,1620,18.0,18,14,32,18,0,0,46,4,1.00,0.78,1.78,1.00,1.78
Coritiba,28,29.1,38.7,18,198,1620,18.0,23,15,38,22,1,1,31,7,1.28,0.83,2.11,1.22,2.06
Cruzeiro,29,27.6,56.1,18,198,1620,18.0,24,19,43,21,3,3,41,3,1.33,1.06,2.39,1.17,2.22
Flamengo,26,30.1,54.8,17,187,1530,17.0,31,25,56,28,3,3,42,6,1.82,1.47,3.29,1.65,3.12
Fluminense,29,30.1,59.3,18,198,1620,18.0,28,20,48,27,1,1,44,1,1.56,1.11,2.67,1.50,2.61
Grêmio,35,27.7,49.4,18,198,1620,18.0,19,14,33,18,1,1,43,4,1.06,0.78,1.83,1.00,1.78
Internacional,27,28.6,50.9,18,198,1620,18.0,20,13,33,19,1,1,45,1,1.11,0.72,1.83,1.06,1.78
Mirassol,29,30.7,51.4,17,187,1530,17.0,16,11,27,15,1,1,45,2,0.94,0.65,1.59,0.88,1.53
Palmeiras,28,27.3,49.5,18,198,1620,18.0,29,22,51,28,1,1,39,2,1.61,1.22,2.83,1.56,2.78
RB Bragantino,30,27.2,50.7,18,198,1620,18.0,24,15,39,22,2,5,55,2,1.33,0.83,2.17,1.22,2.06
Remo,33,30.3,42.7,18,198,1620,18.0,20,11,31,20,0,1,36,3,1.11,0.61,1.72,1.11,1.72
Santos,37,28.3,48.3,18,198,1620,18.0,26,14,40,22,4,4,58,4,1.44,0.78,2.22,1.22,2.00
São Paulo,33,30.4,53.3,18,198,1620,18.0,22,15,37,19,3,4,42,1,1.22,0.83,2.06,1.06,1.89
Vasco da Gama,32,27.2,54.6,18,198,1620,18.0,22,18,40,21,1,1,36,2,1.22,1.00,2.22,1.17,2.17
Vitória,35,27.8,44.9,17,187,1530,17.0,21,15,36,18,3,4,44,1,1.24,0.88,2.12,1.06,1.94