,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
486,Johan Rojas,co COL,MFFW,Vasco da Gama,23-271,2002,15,9,764,8.5,0,1,1,0,0,0,2,0,0.00,0.12,0.12,0.00,0.12,Matches,f338069c
487,Benjamín Rollheiser,ar ARG,MFFW,Santos,26-086,2000,14,4,447,5.0,3,0,3,1,2,2,1,0,0.60,0.00,0.60,0.20,0.20,Matches,e8c4a824
488,Iván Román,cl CHI,DF,Atlético Mineiro,19-341,2006,6,6,440,4.9,1,0,1,1,0,0,3,0,0.20,0.00,0.20,0.20,0.20,Matches,8ee6a7c1
489,Lucas Romero,ar ARG,MF,Cruzeiro,32-061,1994,12,11,824,9.2,1,3,4,1,0,0,3,0,0.11,0.33,0.44,0.11,0.44,Matches,d89e48b8
490,Ronald,br BRA,MF,Vitória,29-000,1997,7,1,140,1.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,cc119c66
491,Ronaldo,br BRA,GK,Bahia,29-300,1996,8,8,674,7.5,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,711c08dc
492,Ronaldo,br BRA,MF,Internacional,29-238,1996,8,4,336,3.7,1,0,1,1,0,0,1,0,0.27,0.00,0.27,0.27,0.27,Matches,8a3b002a
493,Lucas Ronier,br BRA,MF,Coritiba,21-204,2004,15,15,1215,13.5,1,2,3,1,0,0,3,0,0.07,0.15,0.22,0.07,0.22,Matches,d831b6f1
494,Rony,br BRA,MFFW,Santos,31-038,1995,14,10,878,9.8,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,bffd5e50
495,Caio Roque,br BRA,DF,Botafogo–RJ,24-160,2002,3,0,115,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6345721a
496,Vitor Roque,br BRA,FW,Palmeiras,21-110,2005,7,3,275,3.1,3,0,3,2,1,1,1,0,0.98,0.00,0.98,0.65,0.65,Matches,cb00f1e6
497,Agustín Rossi,ar ARG,GK,Flamengo,30-301,1995,17,17,1530,17.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ef223e5f
498,Ruan,br BRA,DF,Atlético Mineiro,27-011,1999,15,15,1329,14.8,1,0,1,1,0,0,6,0,0.07,0.00,0.07,0.07,0.07,Matches,a378a02a
499,José Sabino,br BRA,DF,São Paulo,29-236,1996,15,15,1258,14.0,1,1,2,1,0,0,1,0,0.07,0.07,0.14,0.07,0.14,Matches,e1524457
500,Alan Saldivia,uy URU,DF,Vasco da Gama,24-073,2002,10,10,900,10.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,b084cda6
501,Mateo Sanabria,ar ARG,MF,Bahia,22-079,2004,11,2,302,3.4,2,0,2,2,0,0,1,0,0.60,0.00,0.60,0.60,0.60,Matches,85d69267
502,Alex Sandro,br BRA,DF,Flamengo,35-143,1991,13,13,1065,11.8,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,0d82903c
503,Agustín Sant'Anna,uy URU,DF,RB Bragantino,28-264,1997,7,4,391,4.3,0,1,1,0,0,0,1,0,0.00,0.23,0.23,0.00,0.23,Matches,a680fc25
504,Alex Santana,br BRA,MF,Corinthians,31-036,1995,1,0,10,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e75dc411
505,Santos,br BRA,GK,Athletico–PR,36-093,1990,18,18,1620,18.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,b8d0b69c
506,Ademir Santos,br BRA,FWMF,Bahia,31-122,1995,17,4,576,6.4,0,1,1,0,0,0,2,0,0.00,0.16,0.16,0.00,0.16,Matches,4b7d58c2
507,Danilo Santos,br BRA,MF,Botafogo–RJ,25-050,2001,12,12,1070,11.9,7,2,9,7,0,0,1,0,0.59,0.17,0.76,0.59,0.76,Matches,a816dbfb
508,Eduardo Santos,br BRA,DF,RB Bragantino,28-202,1997,3,1,112,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d226094c
509,Júnior Santos,br BRA,FWMF,Botafogo–RJ,31-250,1994,9,6,409,4.5,1,0,1,1,0,0,2,0,0.22,0.00,0.22,0.22,0.22,Matches,9109e933
510,Luis Eduardo Marques dos Santos,br BRA,DF,Athletico–PR,29-019,1997,2,0,33,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5c5a0d4d
511,Rafael Santos,br BRA,GK,Chapecoense,37-096,1989,4,4,360,4.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,083d6596
512,Eduardo Sasha,br BRA,FWMF,RB Bragantino,34-114,1992,14,8,745,8.3,0,0,0,0,0,2,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b938b871
513,Jefferson Savarino,ve VEN,MF,Fluminense,29-219,1996,15,11,1025,11.4,3,2,5,2,1,1,2,0,0.26,0.18,0.44,0.18,0.35,Matches,91721722
514,Savio,br BRA,DF,Remo,31-023,1995,3,3,200,2.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3e8c6e2c
515,Gustavo Scarpa,br BRA,MFFW,Atlético Mineiro,32-164,1994,10,3,323,3.6,1,0,1,1,0,0,0,0,0.28,0.00,0.28,0.28,0.28,Matches,2964fd20
516,João Schmidt,br BRA,MF,Santos,33-030,1993,10,7,622,6.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,3630db1a
517,Cleiton Schwengber,br BRA,GK,RB Bragantino,28-303,1997,7,7,630,7.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,d24ae824
518,Kevin Serna,co COL,MF,Fluminense,28-183,1997,18,11,990,11.0,1,1,2,1,0,0,1,0,0.09,0.09,0.18,0.09,0.18,Matches,f3cc4a6e
519,Shaylon,br BRA,MF,Mirassol,29-052,1997,14,10,837,9.3,1,1,2,1,0,0,0,0,0.11,0.11,0.22,0.11,0.22,Matches,69c11ef0
520,André Silva,br BRA,FW,São Paulo,29-015,1997,10,4,314,3.5,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,dde93e2c
521,João Pedro Sousa Silva,gw GNB,FW,Remo,29-217,1996,6,5,298,3.3,1,0,1,1,0,0,2,0,0.30,0.00,0.30,0.30,0.30,Matches,0629941f
522,João Vitor Fonseca da Silva,br BRA,DF,Vasco da Gama,21-020,2005,1,1,74,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,62633adc
523,Luan Silva,br BRA,MF,São Paulo,27-096,1999,7,0,96,1.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,12a226cf
524,Lucas Silva,br BRA,MF,Cruzeiro,33-122,1993,13,6,570,6.3,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,1c646218
525,Matheus Pereira da Silva,br BRA,MF,Corinthians,28-113,1998,11,5,452,5.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,bef22bc4
526,Samuel Pierri Mendes e Silva,br BRA,MF,Santos,18-139,2008,2,0,48,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1b19332f
527,Luis Sinisterra,co COL,MF,Cruzeiro,27-001,1999,6,2,233,2.6,1,0,1,1,0,0,0,0,0.39,0.00,0.39,0.39,0.39,Matches,8e16dd48
528,Cauã Soares,br BRA,FW,Atlético Mineiro,17-353,2008,5,0,42,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8b98f7ed
529,Cédric Soares,pt POR,DF,São Paulo,34-291,1991,8,2,267,3.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,839c14e1
530,Everton Soares,br BRA,MF,Flamengo,30-088,1996,9,4,366,4.1,1,1,2,1,0,0,2,0,0.25,0.25,0.49,0.25,0.49,Matches,b1cbc666
531,Tiquinho Soares,br BRA,FW,Mirassol,35-152,1991,7,4,371,4.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,4d982baf
532,Fernando Sobral,br BRA,MF,Coritiba,31-183,1994,3,0,46,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c012aacd
533,Ignacio Sosa,uy URU,MF,RB Bragantino,22-291,2003,14,4,411,4.6,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,2d5e4e47
534,Ramón Sosa,py PAR,MFFW,Palmeiras,26-291,1999,15,7,688,7.6,2,1,3,2,0,0,2,0,0.26,0.13,0.39,0.26,0.39,Matches,2d3417a1
535,Yeferson Soteldo,ve VEN,MF,Fluminense,28-353,1997,12,5,520,5.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,bbb6c951
536,Renê Sousa,br BRA,FW,Vitória,22-254,2003,10,6,682,7.6,5,1,6,5,0,0,2,0,0.66,0.13,0.79,0.66,0.79,Matches,62e5af12
537,Gabriel Souza,br BRA,MF,Vasco da Gama,21-164,2005,2,0,25,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,56a85c3b
538,Hugo Souza,br BRA,GK,Corinthians,27-138,1999,16,16,1440,16.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,c02e5af1
539,Igor Vinícius de Souza,br BRA,DF,Santos,29-078,1997,13,13,1169,13.0,0,1,1,0,0,0,4,0,0.00,0.08,0.08,0.00,0.08,Matches,ec95088d
540,Claudio Spinelli,ar ARG,FW,Vasco da Gama,28-362,1997,12,4,494,5.5,1,0,1,1,0,0,0,0,0.18,0.00,0.18,0.18,0.18,Matches,578606a7
541,Raul Steffens,br BRA,GK,Botafogo–RJ,28-325,1997,8,7,676,7.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,32e3faa6
542,Everaldo Stum,br BRA,FW,Fluminense,34-348,1991,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0ac3d7d8
543,Everaldo Stum,br BRA,FW,Bahia,34-348,1991,14,4,626,7.0,4,0,4,4,0,0,2,0,0.58,0.00,0.58,0.58,0.58,Matches,0ac3d7d8
544,Caio Suassuna,br BRA,FW,Bahia,19-087,2007,1,0,7,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,263254a5
545,Bruno Tabata,br BRA,MF,Internacional,29-080,1997,8,1,178,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,33fdf90d
546,Rubens Tadeu,br BRA,MF,Chapecoense,23-082,2003,7,0,156,1.7,1,0,1,1,0,0,1,0,0.58,0.00,0.58,0.58,0.58,Matches,1da9fcb1
547,Gabriel Taliari,br BRA,FW,Remo,29-066,1997,6,5,435,4.8,3,0,3,3,0,0,0,0,0.62,0.00,0.62,0.62,0.62,Matches,75a16442
548,Gonzalo Tapia,cl CHI,FW,São Paulo,24-120,2002,11,2,278,3.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,cdbd6b8a
549,Diego Tarzia,ar ARG,MF,Vitória,23-053,2003,12,1,312,3.5,2,1,3,2,0,0,1,0,0.58,0.29,0.87,0.58,0.87,Matches,69b553f7
550,Lucas Taverna,br BRA,DF,Coritiba,20-041,2006,3,1,117,1.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,6368347a
551,Duplexe Tchamba,cm CMR,DF,Remo,27-343,1998,14,14,1255,13.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,75926036
552,Tchê Tchê,br BRA,MF,Vasco da Gama,33-292,1992,12,10,779,8.7,1,0,1,1,0,0,2,0,0.12,0.00,0.12,0.12,0.12,Matches,5f2caf8f
553,Alex Telles,br BRA,DFMF,Botafogo–RJ,33-185,1992,15,15,1156,12.8,2,2,4,0,2,2,2,0,0.16,0.16,0.31,0.00,0.16,Matches,e73c9bb2
554,Carlos Terán,co COL,DF,Athletico–PR,25-267,2000,12,10,756,8.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,324509e2
555,Miguel Terceros,bo BOL,MFFW,Santos,22-054,2004,8,5,401,4.5,1,2,3,1,0,0,1,0,0.22,0.45,0.67,0.22,0.67,Matches,d66ed604
556,Tetê,br BRA,FW,São Paulo,19-065,2007,4,0,87,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,d377cac1
557,Tetê,br BRA,MFFW,Grêmio,26-123,2000,14,8,630,7.0,2,0,2,2,0,0,0,0,0.29,0.00,0.29,0.29,0.29,Matches,7120a04d
558,Thaciano,br BRA,MFFW,Santos,31-037,1995,11,6,534,5.9,2,0,2,2,0,0,1,0,0.34,0.00,0.34,0.34,0.34,Matches,139113e4
559,Rafael Thyere,br BRA,DF,Chapecoense,33-032,1993,2,2,104,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e2a29d9d
560,Tiago,br BRA,MF,Grêmio,18-136,2008,1,0,26,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,aa98440f
561,Guilherme Tinga,br BRA,DF,Coritiba,32-290,1993,11,10,862,9.6,0,2,2,0,0,0,0,0,0.00,0.21,0.21,0.00,0.21,Matches,a8331ab0
562,Kauan Toledo,br BRA,MFFW,Botafogo–RJ,20-064,2006,3,2,183,2.0,0,1,1,0,0,0,0,0,0.00,0.49,0.49,0.00,0.49,Matches,2cc7bb98
563,Rafael Tolói,it ITA,DF,São Paulo,35-251,1990,5,5,450,5.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,c56dc39e
564,Félix Torres Caicedo,ec ECU,DF,Internacional,29-158,1997,12,10,950,10.6,1,0,1,1,0,0,3,0,0.09,0.00,0.09,0.09,0.09,Matches,c0a8860f
565,Enzo Vágner,br BRA,FW,Coritiba,19-325,2006,1,0,18,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,65f923c0
566,Vanderlan,br BRA,DF,RB Bragantino,23-284,2002,1,0,7,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,bd8432ff
567,Guillermo Varela,uy URU,DF,Flamengo,33-086,1993,14,11,1071,11.9,0,3,3,0,0,0,2,0,0.00,0.25,0.25,0.00,0.25,Matches,5c961282
568,Lucas Veríssimo,br BRA,DF,Santos,30-351,1995,11,11,990,11.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,5eaf85b5
569,João Victor,br BRA,DF,Mirassol,28-289,1997,17,17,1530,17.0,0,1,1,0,0,0,1,0,0.00,0.06,0.06,0.00,0.06,Matches,d6d0c8bb
570,João Victor,br BRA,DF,Flamengo,19-168,2007,1,0,72,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0eaa0f26
571,Marcos Victor,br BRA,DF,Bahia,24-174,2001,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d714fc5a
572,Viery,br BRA,DF,Grêmio,21-167,2005,13,13,1168,13.0,1,0,1,1,0,0,4,1,0.08,0.00,0.08,0.08,0.08,Matches,73bec74e
573,Rodrigo Villagra,ar ARG,MF,Internacional,25-124,2001,13,12,1051,11.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,b39ae7e1
574,Lucas Villalba,uy URU,MF,Botafogo–RJ,25-038,2001,9,3,358,4.0,1,1,2,1,0,0,2,0,0.25,0.25,0.50,0.25,0.50,Matches,e0661fb5
575,Lucas Villalba,ar ARG,DF,Cruzeiro,31-303,1994,9,7,653,7.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2dc5144f
576,Néiser Villarreal,co COL,FW,Cruzeiro,21-055,2005,11,6,540,6.0,3,1,4,3,0,0,0,0,0.50,0.17,0.67,0.50,0.67,Matches,9200fab7
577,Vinicius,br BRA,MF,Chapecoense,27-021,1999,3,1,128,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ab3ef9c4
578,Alix Vinicius,br BRA,DF,RB Bragantino,26-224,1999,15,13,1155,12.8,0,0,0,0,0,0,6,1,0.00,0.00,0.00,0.00,0.00,Matches,2083298b
579,Carlos Vinícius,br BRA,FW,Grêmio,31-085,1995,17,17,1379,15.3,9,0,9,8,1,1,3,0,0.59,0.00,0.59,0.52,0.52,Matches,8b529245
580,Marcos Vinicius,br BRA,DFMF,Chapecoense,29-084,1997,9,5,517,5.7,0,1,1,0,0,0,2,0,0.00,0.17,0.17,0.00,0.17,Matches,72cacb0d
581,Vitão,br BRA,DF,Flamengo,26-136,2000,6,3,301,3.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,d4f034db
582,Vitinho,br BRA,MF,Internacional,27-078,1999,17,13,1188,13.2,0,3,3,0,0,0,4,0,0.00,0.23,0.23,0.00,0.23,Matches,06d4b2e4
583,Vitinho,br BRA,MF,Corinthians,32-252,1993,8,4,349,3.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a9e68c94
584,Vitinho,br BRA,DFMF,Botafogo–RJ,26-330,1999,15,13,1158,12.9,0,2,2,0,0,0,3,0,0.00,0.16,0.16,0.00,0.16,Matches,9295dc1c
585,João Vitor,br BRA,FW,Vasco da Gama,17-218,2008,3,0,35,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0f687c73
586,João Vitor,br BRA,MF,Chapecoense,28-079,1998,11,7,595,6.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2954fbfc
587,Zé Vitor,br BRA,MF,Vitória,26-047,2000,9,6,581,6.5,1,0,1,1,0,0,3,0,0.15,0.00,0.15,0.15,0.15,Matches,11283939
588,Kevin Viveros,co COL,FW,Athletico–PR,26-075,2000,17,17,1517,16.9,11,1,12,9,2,2,3,0,0.65,0.06,0.71,0.53,0.59,Matches,f40b94ba
589,Tiago Volpi,br BRA,GK,RB Bragantino,35-181,1990,11,11,990,11.0,2,0,2,0,2,2,0,0,0.18,0.00,0.18,0.00,0.00,Matches,fba79ac8
590,Wagner,br BRA,DF,Grêmio,26-330,1999,9,8,684,7.6,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches,25b28b59
591,Wallace,br BRA,MF,Flamengo,21-130,2005,6,0,48,0.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,b83bc030
592,Walter,br BRA,GK,Mirassol,38-212,1987,17,17,1530,17.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,8bae322b
593,Wanderson,br BRA,MF,Cruzeiro,31-254,1994,14,2,379,4.2,1,0,1,1,0,0,0,0,0.24,0.00,0.24,0.24,0.24,Matches,5da33b33
594,José Welison,br BRA,MF,Remo,31-099,1995,15,9,870,9.7,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,b6cb4d16
595,João Wellington,br BRA,MF,Cruzeiro,22-167,2004,3,1,59,0.7,1,0,1,1,0,0,0,0,1.53,0.00,1.53,1.53,1.53,Matches,62e02b9b
596,Wendell,br BRA,DFMF,São Paulo,32-333,1993,12,8,767,8.5,0,3,3,0,0,0,3,0,0.00,0.35,0.35,0.00,0.35,Matches,f9acca3a
597,Wéverton,br BRA,GK,Grêmio,38-187,1987,17,17,1530,17.0,0,1,1,0,0,0,1,0,0.00,0.06,0.06,0.00,0.06,Matches,81be82e9
598,William,br BRA,DF,Cruzeiro,31-076,1995,8,7,535,5.9,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches,d4d0a9ad
599,Willian,br BRA,MFFW,Grêmio,37-313,1988,8,2,332,3.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8b9ebd03
600,Willian,br BRA,MF,Coritiba,33-033,1993,10,5,475,5.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,96f82d0a
601,Mateus Xavier,br BRA,MF,Santos,18-354,2007,1,0,5,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,55cc2965
602,Samuel Xavier,br BRA,DF,Fluminense,36-012,1990,12,11,965,10.7,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,0c870df5
603,Ythallo,br BRA,DF,Botafogo–RJ,21-331,2004,1,1,45,0.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,75558c64
604,Yuri,br BRA,MF,Mirassol,32-059,1994,6,4,323,3.6,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches,51762f49
605,Bruno Zapelli,ar ARG,MF,Athletico–PR,24-032,2002,15,8,683,7.6,0,1,1,0,0,0,4,1,0.00,0.13,0.13,0.00,0.13,Matches,a70af595
606,Bernardo Zortea,br BRA,MF,Grêmio,19-089,2007,3,1,69,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8cc36186
607,Lukas Zuccarello,br BRA,MF,Vasco da Gama,19-198,2006,1,0,11,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ad792e99