,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches,-9999
1,Gabriel Abdias,br BRA,DF,Botafogo–RJ,19-364,2006,0,,,,,0,,0,0,,2,,,,,,,Matches,ca540bc9
2,Nicolás Acevedo,uy URU,DFMF,Bahia,27-065,1999,15,1299,87,84.9,14.4,15,87,12,0,,0,1.53,21,18,+3,+0.21,+0.60,Matches,6140be7b
3,Luciano Acosta,ar ARG,MF,Fluminense,32-018,1994,14,901,64,55.6,10.0,13,67,2,1,24,0,1.71,19,12,+7,+0.70,+0.95,Matches,363ba6d7
4,Adson,br BRA,MF,Vasco da Gama,25-255,2000,8,400,50,24.7,4.4,3,82,1,5,31,8,1.63,9,4,+5,+1.13,+2.01,Matches,eda38706
5,Braian Aguirre,ar ARG,DFMF,Internacional,25-325,2000,12,474,40,29.3,5.3,5,66,2,7,20,6,1.00,4,7,-3,-0.57,-0.73,Matches,74b396d8
6,Yuri Alberto,br BRA,FW,Corinthians,25-092,2001,14,1211,87,74.8,13.5,14,87,9,0,,0,1.36,13,13,0,0.00,+0.22,Matches,65159211
7,José Aldo,br BRA,MF,Mirassol,27-328,1998,15,1081,72,70.7,12.0,12,84,8,3,26,0,0.87,12,14,-2,-0.17,+0.64,Matches,2f90595a
8,João Alencar,br BRA,DF,Santos,18-358,2007,0,,,,,0,,0,0,,1,,,,,,,Matches,0fd7d99f
9,Alerrandro,br BRA,FW,Internacional,26-157,2000,17,771,45,47.6,8.6,9,72,1,8,15,0,1.24,12,9,+3,+0.35,+0.77,Matches,3415a44d
10,Alesson,br BRA,MFFW,Mirassol,27-122,1999,17,1134,67,74.1,12.6,14,77,5,3,21,0,0.94,14,18,-4,-0.32,+0.14,Matches,611e984e
11,Caio Alexandre,br BRA,MF,Bahia,27-114,1999,11,502,46,32.8,5.6,7,59,0,4,22,2,1.82,7,9,-2,-0.36,-0.71,Matches,08ac23b7
12,Matheus Alexandre,br BRA,DF,Remo,27-072,1999,7,153,22,9.4,1.7,1,54,0,6,17,3,1.57,5,5,0,0.00,+0.49,Matches,0212e748
13,Alexsander,br BRA,MF,Atlético Mineiro,22-253,2003,4,90,23,5.6,1.0,0,,0,4,23,7,1.25,0,2,-2,-2.00,-2.06,Matches,b13e7a78
14,Alisson,br BRA,MF,Fluminense,32-358,1993,8,256,32,15.8,2.8,3,67,0,5,11,3,2.13,5,8,-3,-1.05,-1.58,Matches,99139fa4
15,Allan,br BRA,MF,Palmeiras,22-060,2004,17,1213,71,74.9,13.5,15,76,2,2,34,0,2.35,22,10,+12,+0.89,-0.22,Matches,aae04867
16,Allan,br BRA,MF,Corinthians,29-107,1997,13,550,42,34.0,6.1,5,76,3,8,21,1,1.46,5,6,-1,-0.16,-0.16,Matches,b15e93aa
17,Allan,br BRA,MF,Botafogo–RJ,35-161,1991,10,463,46,30.3,5.1,6,65,1,4,19,1,1.60,10,11,-1,-0.19,-0.28,Matches,cc700722
18,Allex,br BRA,MFDF,Internacional,20-045,2006,8,315,39,19.4,3.5,4,65,1,4,14,10,1.13,3,7,-4,-1.14,-1.35,Matches,8a8200ca
19,João Almeida,br BRA,DF,Coritiba,20-153,2006,0,,,,,0,,0,0,,5,,,,,,,Matches,5114171f
20,Kayky Almeida,br BRA,DF,Remo,21-048,2005,7,486,69,30.0,5.4,5,84,4,2,34,3,0.86,8,12,-4,-0.74,-0.42,Matches,4a8d8800
21,Júnior Alonso,py PAR,DF,Atlético Mineiro,33-129,1993,10,900,90,55.6,10.0,10,90,10,0,,5,1.20,13,13,0,0.00,+0.12,Matches,b18a3023
22,Bruno Alves,br BRA,DF,Cruzeiro,20-318,2005,0,,,,,0,,0,0,,4,,,,,,,Matches,637c7c17
23,Dyogo Alves,br BRA,GK,Flamengo,22-160,2004,0,,,,,0,,0,0,,12,,,,,,,Matches,be620844
24,David Alves França,br BRA,MF,Coritiba,18-134,2008,1,1,1,0.1,0.0,0,,0,1,1,7,3.00,0,0,0,0.00,0.00,Matches,57cdf20a
25,Yuri Alves,br BRA,MF,RB Bragantino,19-285,2006,0,,,,,0,,0,0,,1,,,,,,,Matches,7535447f
26,Francis Amuzu,be BEL,MFFW,Grêmio,26-299,1999,16,1040,65,64.2,11.6,12,74,4,4,38,0,1.19,16,17,-1,-0.09,+0.22,Matches,4f0fbd15
27,João Ananias,br BRA,DF,Santos,19-126,2007,3,156,52,9.6,1.7,1,90,1,2,33,6,1.33,2,3,-1,-0.58,-0.45,Matches,91c13988
28,Anderson,br BRA,GK,Chapecoense,28-105,1998,6,540,90,35.3,6.0,6,90,6,0,,4,0.17,6,11,-5,-0.83,+0.17,Matches,29d862d4
29,Anderson,br BRA,FW,Vitória,23-263,2002,4,73,18,4.8,0.8,0,,0,4,18,3,1.75,2,1,+1,+1.23,+1.54,Matches,a03b3912
30,Felipe Anderson,br BRA,MFFW,Palmeiras,33-064,1993,13,372,29,23.0,4.1,3,62,0,10,19,2,2.46,6,2,+4,+0.97,+0.03,Matches,9f1893b9
31,Léo Andrade,br BRA,DF,Remo,28-061,1998,4,295,74,18.2,3.3,3,90,3,1,25,14,0.75,5,7,-2,-0.61,-0.20,Matches,070eb3e3
32,André,br BRA,MF,Corinthians,19-363,2006,14,831,59,51.3,9.2,10,70,3,4,33,0,1.21,8,10,-2,-0.22,-0.33,Matches,867660e8
33,Andrew,br BRA,GK,Flamengo,24-352,2001,0,,,,,0,,0,0,,17,,,,,,,Matches,40406a00
34,Andrey,br BRA,MF,Vasco da Gama,18-133,2008,1,23,23,1.4,0.3,0,,0,1,23,0,0.00,0,0,0,0.00,+0.39,Matches,0bedf7a0
35,Fabrizio Angileri,ar ARG,DF,Corinthians,32-095,1994,6,329,55,20.3,3.7,3,90,3,3,20,8,0.83,2,3,-1,-0.27,-0.27,Matches,fdd26d71
36,Anthoni,br BRA,GK,Internacional,24-146,2002,7,630,90,38.9,7.0,7,90,7,0,,11,1.14,11,11,0,0.00,+0.09,Matches,a0b17b31
37,Anthony,br BRA,DF,Botafogo–RJ,20-341,2005,0,,,,,0,,0,0,,1,,,,,,,Matches,87f5669c
38,Marcos Antônio,br BRA,MF,São Paulo,26-005,2000,12,887,74,54.8,9.9,9,87,7,3,34,0,1.67,14,9,+5,+0.51,+0.75,Matches,108fe016
39,Rodrigo Antonio Rodrigues,br BRA,FWMF,Mirassol,26-058,2000,0,,,,,0,,0,0,,2,,,,,,,Matches,bb18661c
40,David Antunes,br BRA,MF,Chapecoense,20-305,2005,4,55,14,3.6,0.6,1,28,0,3,9,9,0.75,2,4,-2,-3.27,-2.42,Matches,f26429fb
41,Guilherme Arana,br BRA,DF,Fluminense,29-065,1997,13,804,62,49.6,8.9,9,85,8,4,10,5,1.62,14,11,+3,+0.34,+0.12,Matches,2b15a82a
42,Aranha,br BRA,GK,Palmeiras,21-131,2005,0,,,,,0,,0,0,,4,,,,,,,Matches,316795a6
43,Willian Arão,br BRA,MF,Santos,33-197,1992,13,704,54,43.5,7.8,8,74,3,5,22,1,1.38,13,14,-1,-0.13,+0.07,Matches,f47a530a
44,Luiz Araújo,br BRA,MF,Flamengo,30-016,1996,11,364,33,23.8,4.0,4,72,1,7,11,2,2.55,12,2,+10,+2.47,+2.09,Matches,fa18c72e
45,Michel Araujo,uy URU,MF,Bahia,29-263,1996,12,243,20,15.9,2.7,1,45,0,11,18,3,1.25,3,6,-3,-1.11,-1.46,Matches,1159e4ae
46,Alexander Aravena,cl CHI,FWMF,Grêmio,23-285,2002,0,,,,,0,,0,0,,1,,,,,,,Matches,4535ab5d
47,Robert Arboleda,ec ECU,DF,São Paulo,34-239,1991,6,317,53,19.6,3.5,3,90,3,3,16,2,2.17,4,2,+2,+0.57,+0.50,Matches,269dbfc6
48,Lucas Arcanjo,br BRA,GK,Vitória,27-314,1998,13,1170,90,76.5,13.0,13,90,13,0,,1,1.46,16,15,+1,+0.08,+1.33,Matches,21803aa2
49,Benjamin Arhin,gh GHA,MF,Internacional,20-020,2006,1,1,1,0.1,0.0,0,,0,1,1,3,3.00,0,0,0,0.00,+0.06,Matches,47de2b05
50,Jhon Arias,co COL,MF,Palmeiras,28-270,1997,13,1008,78,62.2,11.2,12,81,4,1,32,0,2.31,15,8,+7,+0.62,-0.85,Matches,86d96066
51,Giorgian de Arrascaeta,uy URU,MF,Flamengo,32-017,1994,10,740,74,48.4,8.2,9,78,1,1,35,1,2.30,16,6,+10,+1.22,+0.65,Matches,be8d02dd
52,Keny Arroyo,ec ECU,MF,Cruzeiro,20-124,2006,15,878,59,54.2,9.8,11,71,2,4,26,0,1.13,14,17,-3,-0.31,-0.19,Matches,a9c426f6
53,Arthur,br BRA,DF,Palmeiras,20-287,2005,13,801,62,49.4,8.9,9,82,4,4,15,2,2.15,13,4,+9,+1.01,+0.13,Matches,caf3e90b
54,Artur,br BRA,MF,São Paulo,28-123,1998,10,880,88,54.3,9.8,10,88,8,0,,0,0.90,13,14,-1,-0.10,-0.59,Matches,105132cd
55,Artur,br BRA,FW,Botafogo–RJ,28-123,1998,4,192,48,12.5,2.1,1,81,0,3,37,2,0.75,4,6,-2,-0.94,-1.07,Matches,105132cd
56,Giovanni Augusto,br BRA,MFFW,Chapecoense,36-286,1989,10,401,40,26.2,4.5,7,51,0,3,15,2,0.70,3,5,-2,-0.45,+0.67,Matches,2f94a698
57,Ryan Augusto,br BRA,DF,RB Bragantino,18-287,2007,5,234,47,14.4,2.6,2,90,2,3,18,2,1.20,1,2,-1,-0.38,-0.84,Matches,d08d6f66
58,Matheus Aurelio,br BRA,GK,Chapecoense,26-360,1999,0,,,,,0,,0,0,,1,,,,,,,Matches,3d460576
59,Avellar,br BRA,DF,Vasco da Gama,20-102,2006,1,6,6,0.4,0.1,0,,0,1,6,5,1.00,0,1,-1,-15.00,-14.67,Matches,19536a8f
60,Bahia,br BRA,MF,Corinthians,20-167,2006,0,,,,,0,,0,0,,2,,,,,,,Matches,a4b1b158
61,Matheus Bahia,br BRA,DFMF,Internacional,26-311,1999,10,686,69,42.3,7.6,9,75,3,1,8,3,1.70,12,8,+4,+0.52,+1.01,Matches,33e3c4e5
62,Pablo Baianinho,br BRA,MF,Vitória,22-319,2003,0,,,,,0,,0,0,,6,,,,,,,Matches,9e37d211
63,Fabián Balbuena,py PAR,DF,Grêmio,34-299,1991,7,585,84,36.1,6.5,7,84,6,0,,5,1.14,9,9,0,0.00,+0.26,Matches,3626f7d9
64,Gabriel Baralhas,br BRA,MF,Vitória,27-251,1998,14,1189,85,77.7,13.2,14,85,10,0,,0,1.29,14,17,-3,-0.23,+0.04,Matches,b7838aad
65,Gabriel Barbosa,br BRA,FW,Santos,29-292,1996,12,814,68,50.2,9.0,9,82,4,3,24,1,1.08,14,14,0,0.00,+0.33,Matches,72d0e1b6
66,Lucas Barbosa,br BRA,MFFW,RB Bragantino,25-116,2001,16,1435,90,88.6,15.9,16,90,15,0,,0,1.63,22,17,+5,+0.31,-0.17,Matches,a28eac7e
67,Alexander Barboza,ar ARG,DF,Botafogo–RJ,31-094,1995,12,1034,86,67.6,11.5,12,86,11,0,,0,1.50,24,20,+4,+0.35,+1.07,Matches,b1805c80
68,Álvaro Barreal,ar ARG,MFDF,Santos,25-305,2000,15,935,62,57.7,10.4,10,77,2,5,33,1,1.13,17,15,+2,+0.19,+0.85,Matches,ffca53e1
69,Jordan Barrera,co COL,MF,Botafogo–RJ,20-068,2006,11,374,34,24.4,4.2,3,58,0,8,25,6,1.09,7,10,-3,-0.72,-0.96,Matches,abe7a9c6
70,Kadir Barría,pa PAN,MFFW,Botafogo–RJ,18-335,2007,8,256,32,16.7,2.8,2,45,0,6,28,2,1.50,9,3,+6,+2.11,+2.53,Matches,b594dfe1
71,Cauan Barros,br BRA,MF,Vasco da Gama,22-043,2004,15,1122,75,69.3,12.5,13,83,8,2,21,1,0.73,9,22,-13,-1.04,-2.13,Matches,6ae4627b
72,Bastos,ao ANG,DF,Botafogo–RJ,35-083,1991,6,520,87,34.0,5.8,6,87,5,0,,5,0.67,8,15,-7,-1.21,-1.84,Matches,c01c66d9
73,José Luis Rodríguez Bebanz,uy URU,DFMF,Vasco da Gama,29-096,1997,12,861,72,53.1,9.6,8,89,7,4,38,3,1.25,13,16,-3,-0.31,+0.16,Matches,6f1a7f76
74,Erick Belé,br BRA,MF,Palmeiras,19-148,2007,0,,,,,0,,0,0,,5,,,,,,,Matches,7d96f93b
75,Thiago Beltrame,br BRA,GK,Grêmio,22-351,2003,1,74,74,4.6,0.8,1,74,0,0,,4,0.00,1,3,-2,-2.43,-2.37,Matches,e5819c51
76,Benassi,br BRA,GK,Coritiba,22-183,2003,0,,,,,0,,0,0,,4,,,,,,,Matches,e67af616
77,Gastón Benavídez,ar ARG,MFDF,Athletico–PR,30-238,1995,15,1350,90,83.3,15.0,15,90,15,0,,0,1.80,22,16,+6,+0.40,+0.40,Matches,adc19df2
78,Luis Benedetti,br BRA,DF,Palmeiras,20-011,2006,2,23,12,1.4,0.3,0,,0,2,12,5,3.00,0,0,0,0.00,-0.96,Matches,3690d4f3
79,Alexandro Bernabei,ar ARG,MFDF,Internacional,25-267,2000,15,1284,86,79.3,14.3,14,90,11,1,29,1,1.20,15,15,0,0.00,+0.27,Matches,67b09a18
80,Facundo Bernal,uy URU,MF,Fluminense,22-301,2003,10,549,55,33.9,6.1,7,71,2,3,17,2,1.70,5,10,-5,-0.82,-1.66,Matches,ca34fa2e
81,Bernard,br BRA,MFFW,Atlético Mineiro,33-283,1992,15,739,49,45.6,8.2,10,64,1,5,20,3,1.40,15,10,+5,+0.61,+1.22,Matches,ab4b3e35
82,João Bezerra,br BRA,FW,Internacional,16-354,2009,0,,,,,0,,0,0,,3,,,,,,,Matches,137321f8
83,Matheus Bidu,br BRA,DF,Corinthians,27-045,1999,15,1291,86,79.7,14.3,15,86,12,0,,2,1.47,16,16,0,0.00,+0.27,Matches,b8a72293
84,Damián Bobadilla,py PAR,MF,São Paulo,24-342,2001,14,1059,76,65.4,11.8,13,81,5,1,8,0,1.64,18,15,+3,+0.25,+0.25,Matches,ad7d6437
85,Yannick Bolasie,cd COD,FW,Chapecoense,37-025,1989,14,928,66,60.7,10.3,12,74,4,2,19,0,0.57,9,19,-10,-0.97,-0.07,Matches,715fc0fe
86,Gabriel Bontempo,br BRA,MF,Santos,21-153,2005,16,1059,66,65.4,11.8,13,80,2,3,8,1,1.25,18,21,-3,-0.25,-0.25,Matches,3f384407
87,Daniel Borges,br BRA,DFMF,Mirassol,33-087,1993,5,367,73,24.0,4.1,3,90,3,2,49,9,0.80,3,6,-3,-0.74,-0.50,Matches,71879f82
88,Marllon Borges,br BRA,DF,Remo,34-063,1992,18,1620,90,100.0,18.0,18,90,18,0,,0,1.00,21,29,-8,-0.44,,Matches,d0b29bbd
89,Rafael Borré,co COL,FW,Internacional,30-276,1995,18,1058,59,65.3,11.8,11,82,4,7,23,0,1.17,11,15,-4,-0.34,-0.82,Matches,c68da769
90,David Braga,br BRA,MF,Remo,24-189,2001,6,218,36,13.5,2.4,2,65,0,4,22,2,1.83,3,2,+1,+0.41,+0.99,Matches,1448daef
91,Martin Braithwaite,dk DEN,MFFW,Grêmio,35-013,1991,11,338,31,20.9,3.8,3,72,1,8,15,1,0.91,5,4,+1,+0.27,+0.55,Matches,fd771f95
92,Brayan,br BRA,FW,Coritiba,20-135,2006,0,,,,,0,,0,0,,1,,,,,,,Matches,d2fc2c0c
93,Gabriel Brazão,br BRA,GK,Santos,25-256,2000,16,1440,90,88.9,16.0,16,90,16,0,,0,1.06,22,27,-5,-0.31,-1.31,Matches,18c697e8
94,Brenner,br BRA,FWMF,Vasco da Gama,26-153,2000,13,557,43,34.4,6.2,5,72,1,8,25,2,1.08,6,14,-8,-1.29,-1.38,Matches,279508bf
95,Breno,br BRA,MF,Corinthians,21-118,2005,16,1131,71,69.8,12.6,15,74,3,1,23,0,1.13,12,17,-5,-0.40,-1.13,Matches,4c532308
96,Breno,br BRA,MF,Coritiba,30-145,1996,15,973,65,60.1,10.8,12,72,3,3,36,0,1.60,19,14,+5,+0.46,+1.16,Matches,e0016d00
97,José Breno,br BRA,MF,Vitória,22-012,2004,2,29,15,1.9,0.3,0,,0,2,15,5,2.00,1,1,0,0.00,+0.24,Matches,a404a52b
98,Bruninho,br BRA,MF,Athletico–PR,17-306,2008,9,312,35,19.3,3.5,3,71,0,6,17,2,1.44,4,3,+1,+0.29,-0.06,Matches,aaf85f4f
99,Fabrício Bruno,br BRA,DF,Cruzeiro,30-126,1996,17,1522,90,94.0,16.9,17,90,16,0,,0,1.24,23,27,-4,-0.24,-0.24,Matches,470d197b
100,Kaiki Bruno,br BRA,DF,Cruzeiro,23-102,2003,16,1416,89,87.4,15.7,16,89,14,0,,0,1.13,18,27,-9,-0.57,-2.78,Matches,1a36e9cb
101,Vitor Bueno,br BRA,MFFW,Remo,31-286,1994,11,748,68,46.2,8.3,10,73,2,1,19,1,1.09,11,14,-3,-0.36,+0.16,Matches,5752f96d
102,Gustavo Caballero,py PAR,FW,Santos,24-270,2001,1,45,45,2.8,0.5,1,45,0,0,,0,0.00,1,1,0,0.00,+0.17,Matches,90a38ca7
103,Arthur Cabral,br BRA,FW,Botafogo–RJ,28-054,1998,15,1211,81,79.2,13.5,15,81,8,0,,2,1.27,23,26,-3,-0.22,-1.07,Matches,a820e429
104,Cacá,br BRA,DF,Corinthians,27-054,1999,0,,,,,0,,0,0,,1,,,,,,,Matches,27f4a416
105,Cacá,br BRA,DF,Vitória,27-054,1999,12,1064,89,69.5,11.8,12,89,11,0,,0,1.50,14,13,+1,+0.08,+1.05,Matches,27f4a416
106,Victor Caetano,br BRA,DF,Chapecoense,28-242,1997,8,647,81,42.3,7.2,8,81,5,0,,6,0.75,10,16,-6,-0.83,+0.18,Matches,82a12c6d
107,Jonathan Calleri,ar ARG,FW,São Paulo,32-268,1993,16,1349,84,83.3,15.0,15,88,11,1,27,0,1.56,20,15,+5,+0.33,+1.00,Matches,6922f806
108,Camilo,br BRA,MF,Chapecoense,27-115,1999,14,1170,84,76.5,13.0,14,84,11,0,,0,0.57,8,24,-16,-1.23,-1.23,Matches,dfb81359
109,Juan Camilo Portilla,co COL,MF,Athletico–PR,27-279,1998,15,794,53,49.0,8.8,11,60,1,4,35,0,1.53,8,11,-3,-0.34,-1.32,Matches,ad49f7fb
110,Camutanga,br BRA,DF,Vitória,32-264,1993,8,599,75,39.2,6.7,7,83,5,1,20,1,1.38,6,7,-1,-0.15,+0.14,Matches,c455a045
111,Luan Cândido,br BRA,DF,Vitória,25-136,2001,10,777,78,50.8,8.6,8,90,8,2,29,4,1.20,14,13,+1,+0.12,+0.71,Matches,ca151606
112,Germán Cano,ar ARG,FW,Fluminense,38-136,1988,4,65,16,4.0,0.7,0,,0,4,16,1,1.25,1,2,-1,-1.38,-1.73,Matches,9ccf4e14
113,Agustín Canobbio,uy URU,MF,Fluminense,27-260,1998,11,856,78,52.8,9.5,11,78,3,0,,1,2.00,15,11,+4,+0.42,+0.30,Matches,4f5a2f38
114,Aitor Cantalapiedra,es ESP,MF,Vitória,30-128,1996,8,338,42,22.1,3.8,4,69,1,4,15,5,1.00,2,8,-6,-1.60,-1.75,Matches,21a260a8
115,Víctor Cantillo,co COL,MF,Remo,32-246,1993,0,,,,,0,,0,0,,1,,,,,,,Matches,45075f2f
116,Juninho Capixaba,br BRA,DF,RB Bragantino,28-347,1997,16,1427,89,88.1,15.9,16,89,14,0,,0,1.63,23,16,+7,+0.44,+0.91,Matches,91ba7336
117,Johan Carbonero,co COL,MFFW,Internacional,26-333,1999,17,1123,66,69.3,12.5,13,78,1,4,26,0,1.24,18,14,+4,+0.32,+1.23,Matches,9eca9710
118,Edson Carioca,br BRA,FWMF,Mirassol,28-349,1997,11,475,43,31.0,5.3,5,68,0,6,23,1,0.91,7,5,+2,+0.38,+1.06,Matches,14c679d6
119,Igor Cariús,br BRA,DF,Mirassol,33-048,1993,1,36,36,2.4,0.4,0,,0,1,36,3,1.00,0,1,-1,-2.50,-2.20,Matches,662475de
120,Carlinhos,br BRA,FW,Remo,29-126,1997,0,,,0.0,0.0,0,,0,0,,0,1.00,1,1,0,,,Matches,37fe7c99
121,Jean Carlos Vicente,br BRA,MF,Chapecoense,34-123,1992,17,659,39,43.1,7.3,4,80,0,13,26,0,0.53,7,14,-7,-0.96,-0.03,Matches,db4b7637
122,Jorge Carrascal,co COL,MF,Flamengo,28-024,1998,13,617,47,40.3,6.9,6,70,0,7,28,0,1.85,10,5,+5,+0.73,-0.26,Matches,3f9f0d62
123,André Carrillo,pe PER,MF,Corinthians,35-004,1991,14,696,50,43.0,7.7,8,76,2,6,15,1,1.64,10,9,+1,+0.13,+0.32,Matches,7527558b
124,Rafael Carvalheira,br BRA,MF,Chapecoense,27-023,1999,14,893,64,58.4,9.9,11,74,5,3,26,1,0.57,11,23,-12,-1.21,-0.64,Matches,a204b8fd
125,Mateo Cassierra,co COL,FW,Atlético Mineiro,29-066,1997,14,674,48,41.6,7.5,7,83,3,7,13,1,1.36,10,9,+1,+0.13,+0.32,Matches,0f714df2
126,Cássio,br BRA,GK,Cruzeiro,39-012,1987,5,421,84,26.0,4.7,5,84,4,0,,0,0.40,4,10,-6,-1.28,-1.43,Matches,d42f6326
127,Rodrigo Castillo,ar ARG,FW,Fluminense,27-112,1999,12,509,42,31.4,5.7,4,86,2,8,21,1,1.92,10,9,+1,+0.18,-0.15,Matches,da71df54
128,Arthur Castro,br BRA,FW,Botafogo–RJ,18-354,2007,0,,,,,0,,0,0,,1,,,,,,,Matches,0abaa9e0
129,Franco Catarozzi,uy URU,MF,Remo,26-077,2000,1,23,23,1.4,0.3,0,,0,1,23,2,1.00,0,2,-2,-7.83,-7.49,Matches,ca82c8ac
130,Cauan,br BRA,MF,Vitória,19-258,2006,0,,,,,0,,0,0,,1,,,,,,,Matches,4b266c98
131,Caue,br BRA,DF,RB Bragantino,19-187,2006,3,179,60,11.0,2.0,2,87,1,1,6,11,2.00,2,3,-1,-0.50,-0.94,Matches,b8f62eb5
132,Murilo Cerqueira,br BRA,DF,Palmeiras,29-083,1997,15,1306,87,80.6,14.5,15,87,14,0,,0,2.33,27,11,+16,+1.10,+0.82,Matches,10fe831e
133,Julio Cesar,br BRA,DF,Fluminense,19-224,2006,0,,,,,0,,0,0,,4,,,,,,,Matches,94325798
134,Kaio César,br BRA,MF,Corinthians,22-123,2004,6,295,49,18.2,3.3,2,75,0,4,37,2,1.33,6,3,+3,+0.92,+1.19,Matches,4e232375
135,Kayky Chagas,br BRA,MF,Internacional,23-007,2003,6,75,13,4.6,0.8,0,,0,6,13,5,0.83,1,0,+1,+1.20,+1.32,Matches,17734ea0
136,Gabriel Chapecó,br BRA,GK,Grêmio,26-081,2000,0,,,,,0,,0,0,,14,,,,,,,Matches,a24714b4
137,Chico,br BRA,FWMF,Mirassol,35-032,1991,2,44,22,2.9,0.5,0,,0,2,22,11,1.50,0,1,-1,-2.05,-1.74,Matches,bad7d8a9
138,Chiqueti,br BRA,MF,Athletico–PR,20-289,2005,8,221,28,13.6,2.5,0,,0,8,28,5,1.63,4,0,+4,+1.63,+1.50,Matches,c1aaf0bf
139,Christian,br BRA,MF,Cruzeiro,25-181,2000,17,1249,73,77.1,13.9,15,80,4,2,27,1,1.24,18,23,-5,-0.36,-0.60,Matches,a856b456
140,Mamady Cissé,gn GUI,MF,Atlético Mineiro,19-168,2007,8,175,22,10.8,1.9,0,,0,8,22,3,1.25,3,5,-2,-1.03,-1.09,Matches,431e42f4
141,Walter Clar,py PAR,DFMF,Chapecoense,31-264,1994,10,765,77,50.0,8.5,9,80,7,1,45,7,0.80,10,15,-5,-0.59,+0.71,Matches,5f6d3364
142,Claudinho,br BRA,DF,Vitória,25-267,2000,2,115,58,7.5,1.3,1,70,0,1,45,1,0.00,0,4,-4,-3.13,-3.13,Matches,a921647d
143,Clayton,br BRA,DF,Internacional,26-075,2000,0,,,0.0,0.0,0,,0,0,,6,1.00,2,2,0,,,Matches,30afd787
144,Pedro Cobra,br BRA,GK,Atlético Mineiro,20-033,2006,0,,,,,0,,0,0,,3,,,,,,,Matches,506b023e
