,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,,-additional
589,Iván Román,cl CHI,DF,Atlético Mineiro,19-341,2006,6,440,73,27.2,4.9,6,73,3,0,,6,1.67,4,2,+2,+0.41,+0.64,Matches,8ee6a7c1
590,Lucas Romero,ar ARG,MF,Cruzeiro,32-061,1994,12,824,69,50.9,9.2,11,74,3,1,9,1,1.58,11,12,-1,-0.11,+0.23,Matches,d89e48b8
591,Ronald,br BRA,MF,Vitória,29-000,1997,7,140,20,9.2,1.6,1,45,0,6,16,10,1.71,0,3,-3,-1.93,-1.86,Matches,cc119c66
592,Ronaldo,br BRA,GK,Bahia,29-300,1996,8,674,84,44.1,7.5,8,84,7,0,,0,2.13,11,4,+7,+0.93,+1.46,Matches,711c08dc
593,Ronaldo,br BRA,MF,Internacional,29-238,1996,8,336,42,20.7,3.7,4,74,0,4,10,5,1.13,3,6,-3,-0.80,-0.94,Matches,8a3b002a
594,Lucas Ronier,br BRA,MF,Coritiba,21-204,2004,15,1215,81,75.0,13.5,15,81,10,0,,1,1.33,17,17,0,0.00,0.00,Matches,d831b6f1
595,Rony,br BRA,MFFW,Santos,31-038,1995,14,878,63,54.2,9.8,10,79,3,4,21,1,1.50,13,11,+2,+0.21,+0.81,Matches,bffd5e50
596,Caio Roque,br BRA,DF,Botafogo–RJ,24-160,2002,3,115,38,7.5,1.3,0,,0,3,38,8,2.33,5,3,+2,+1.57,+1.69,Matches,6345721a
597,Vitor Roque,br BRA,FW,Palmeiras,21-110,2005,7,275,39,17.0,3.1,3,73,0,4,14,0,2.71,10,3,+7,+2.29,+1.62,Matches,cb00f1e6
598,Agustín Rossi,ar ARG,GK,Flamengo,30-301,1995,17,1530,90,100.0,17.0,17,90,17,0,,0,2.00,31,16,+15,+0.88,,Matches,ef223e5f
599,Ruan,br BRA,DF,Atlético Mineiro,27-011,1999,15,1329,89,82.0,14.8,15,89,14,0,,1,1.13,19,22,-3,-0.20,-0.82,Matches,a378a02a
600,José Sabino,br BRA,DF,São Paulo,29-236,1996,15,1258,84,77.7,14.0,15,84,13,0,,0,1.47,20,15,+5,+0.36,+0.85,Matches,e1524457
601,Alan Saldivia,uy URU,DF,Vasco da Gama,24-073,2002,10,900,90,55.6,10.0,10,90,10,0,,6,1.20,14,17,-3,-0.30,+0.20,Matches,b084cda6
602,Daniel Sales,br BRA,DF,Flamengo,19-360,2006,0,,,,,0,,0,0,,6,,,,,,,Matches,098f9d54
603,Keven Samuel,br BRA,FW,Fluminense,19-143,2007,0,,,,,0,,0,0,,2,,,,,,,Matches,0388b5dc
604,Mateo Sanabria,ar ARG,MF,Bahia,22-079,2004,11,302,27,19.7,3.4,2,52,0,9,22,3,1.45,8,4,+4,+1.19,+1.34,Matches,85d69267
605,Alex Sandro,br BRA,DF,Flamengo,35-143,1991,13,1065,82,69.6,11.8,13,82,9,0,,0,1.92,23,12,+11,+0.93,+0.16,Matches,0d82903c
606,Agustín Sant'Anna,uy URU,DF,RB Bragantino,28-264,1997,7,391,56,24.1,4.3,4,88,2,3,13,1,2.57,12,1,+11,+2.53,+2.90,Matches,a680fc25
607,Alex Santana,br BRA,MF,Corinthians,31-036,1995,1,10,10,0.6,0.1,0,,0,1,10,4,0.00,0,0,0,0.00,+0.06,Matches,e75dc411
608,Santos,br BRA,GK,Athletico–PR,36-093,1990,18,1620,90,100.0,18.0,18,90,18,0,,0,1.67,24,18,+6,+0.33,,Matches,b8d0b69c
609,Ademir Santos,br BRA,FWMF,Bahia,31-122,1995,17,576,34,37.6,6.4,4,65,0,13,24,0,1.53,9,8,+1,+0.16,+0.06,Matches,4b7d58c2
610,Alan Santos,br BRA,FW,Flamengo,19-039,2007,0,,,,,0,,0,0,,1,,,,,,,Matches,ca6e1708
611,Danilo Santos,br BRA,MF,Botafogo–RJ,25-050,2001,12,1070,89,69.9,11.9,12,89,11,0,,0,1.25,22,21,+1,+0.08,+0.28,Matches,a816dbfb
612,Eduardo Santos,br BRA,DF,RB Bragantino,28-202,1997,3,112,37,6.9,1.2,1,90,1,2,11,5,0.67,0,2,-2,-1.61,-2.08,Matches,d226094c
613,Júnior Santos,br BRA,FWMF,Botafogo–RJ,31-250,1994,9,409,45,26.7,4.5,6,57,1,3,22,1,1.44,7,7,0,0.00,0.00,Matches,9109e933
614,Luis Eduardo Marques dos Santos,br BRA,DF,Athletico–PR,29-019,1997,2,33,17,2.0,0.4,0,,0,2,17,0,1.50,1,0,+1,+2.73,+2.44,Matches,5c5a0d4d
615,Rafael Santos,br BRA,GK,Chapecoense,37-096,1989,4,360,90,23.5,4.0,4,90,4,0,,13,0.25,2,11,-9,-2.25,-1.71,Matches,083d6596
616,Victor Gabriel dos Santos,br BRA,MF,Palmeiras,19-208,2006,0,,,,,0,,0,0,,1,,,,,,,Matches,76e1d87d
617,Eduardo Sasha,br BRA,FWMF,RB Bragantino,34-114,1992,14,745,53,46.0,8.3,8,77,1,6,22,0,1.64,10,10,0,0.00,-0.62,Matches,b938b871
618,Jefferson Savarino,ve VEN,MF,Fluminense,29-219,1996,15,1025,68,63.3,11.4,11,84,5,4,26,1,1.80,21,13,+8,+0.70,+1.16,Matches,91721722
619,Savio,br BRA,DF,Remo,31-023,1995,3,200,67,12.3,2.2,3,67,1,0,,0,0.33,1,4,-3,-1.35,-1.03,Matches,3e8c6e2c
620,Gustavo Scarpa,br BRA,MFFW,Atlético Mineiro,32-164,1994,10,323,32,19.9,3.6,3,58,0,7,21,4,1.10,5,7,-2,-0.56,-0.63,Matches,2964fd20
621,João Schmidt,br BRA,MF,Santos,33-030,1993,10,622,62,38.4,6.9,7,86,5,3,7,5,1.40,9,11,-2,-0.29,-0.20,Matches,3630db1a
622,Davi Schuindt,br BRA,DF,Fluminense,22-053,2004,0,,,,,0,,0,0,,1,,,,,,,Matches,394256c4
623,Cleiton Schwengber,br BRA,GK,RB Bragantino,28-303,1997,7,630,90,38.9,7.0,7,90,7,0,,11,1.14,6,8,-2,-0.29,-1.01,Matches,d24ae824
624,Yuri Sena,br BRA,GK,Vitória,25-166,2001,0,,,,,0,,0,0,,5,,,,,,,Matches,bf1dcf73
625,Kevin Serna,co COL,MF,Fluminense,28-183,1997,18,990,55,61.1,11.0,11,78,3,7,20,0,1.72,14,16,-2,-0.18,-1.18,Matches,f3cc4a6e
626,Shaylon,br BRA,MF,Mirassol,29-052,1997,14,837,60,54.7,9.3,10,73,1,4,27,2,0.79,8,9,-1,-0.11,+0.54,Matches,69c11ef0
627,Sidney,br BRA,MF,Bahia,20-098,2006,0,,,,,0,,0,0,,1,,,,,,,Matches,f28ea184
628,André Silva,br BRA,FW,São Paulo,29-015,1997,10,314,31,19.4,3.5,4,66,0,6,9,2,1.00,4,5,-1,-0.29,-0.56,Matches,dde93e2c
629,Daniel Silva,br BRA,DF,Flamengo,17-079,2009,0,,,,,0,,0,0,,1,,,,,,,Matches,48643fef
630,João Pedro Sousa Silva,gw GNB,FW,Remo,29-217,1996,6,298,50,18.4,3.3,5,58,0,1,9,5,0.50,4,3,+1,+0.30,+0.91,Matches,0629941f
631,João Vitor Fonseca da Silva,br BRA,DF,Vasco da Gama,21-020,2005,1,74,74,4.6,0.8,1,74,0,0,,1,0.00,0,2,-2,-2.43,-2.14,Matches,62633adc
632,Luan Silva,br BRA,MF,São Paulo,27-096,1999,7,96,14,5.9,1.1,0,,0,7,14,9,1.29,3,1,+2,+1.87,+1.82,Matches,12a226cf
633,Lucas Silva,br BRA,MF,Cruzeiro,33-122,1993,13,570,44,35.2,6.3,6,76,1,7,17,4,1.08,8,10,-2,-0.32,-0.14,Matches,1c646218
634,Iago da Silva Machado,br BRA,DF,Corinthians,17-121,2009,0,,,,,0,,0,0,,6,,,,,,,Matches,42822830
635,Matheus Pereira da Silva,br BRA,MF,Corinthians,28-113,1998,11,452,41,27.9,5.0,5,65,0,6,21,5,1.36,3,3,0,0.00,+0.08,Matches,bef22bc4
636,Patrick Silva,br BRA,MF,Atlético Mineiro,22-091,2004,0,,,,,0,,0,0,,3,,,,,,,Matches,d6667807
637,Samuel Pierri Mendes e Silva,br BRA,MF,Santos,18-139,2008,2,48,24,3.0,0.5,0,,0,2,24,3,1.50,2,1,+1,+1.87,+2.10,Matches,1b19332f
638,Wendel Silva,br BRA,MF,Bahia,20-110,2006,0,,,,,0,,0,0,,1,,,,,,,Matches,351108c0
639,Luis Sinisterra,co COL,MF,Cruzeiro,27-001,1999,6,233,39,14.4,2.6,2,74,0,4,21,2,2.00,5,2,+3,+1.16,+1.61,Matches,8e16dd48
640,Cauã Soares,br BRA,FW,Atlético Mineiro,17-353,2008,5,42,8,2.6,0.5,0,,0,5,8,3,1.80,0,0,0,0.00,+0.06,Matches,8b98f7ed
641,Cédric Soares,pt POR,DF,São Paulo,34-291,1991,8,267,33,16.5,3.0,2,76,1,6,19,5,0.63,5,6,-1,-0.34,-0.60,Matches,839c14e1
642,Everton Soares,br BRA,MF,Flamengo,30-088,1996,9,366,41,23.9,4.1,4,63,0,5,23,5,1.89,5,4,+1,+0.25,-0.84,Matches,b1cbc666
643,Matheus Soares,br BRA,GK,Athletico–PR,21-159,2005,0,,,,,0,,0,0,,3,,,,,,,Matches,7c158482
644,Tiquinho Soares,br BRA,FW,Mirassol,35-152,1991,7,371,53,24.2,4.1,4,72,1,3,28,3,0.00,1,7,-6,-1.46,-1.46,Matches,4d982baf
645,Tiquinho Soares,br BRA,FW,Santos,35-152,1991,0,,,,,0,,0,0,,1,,,,,,,Matches,4d982baf
646,Fernando Sobral,br BRA,MF,Coritiba,31-183,1994,3,46,15,2.8,0.5,0,,0,3,15,15,1.67,1,2,-1,-1.96,-2.01,Matches,c012aacd
647,Ignacio Sosa,uy URU,MF,RB Bragantino,22-291,2003,14,411,29,25.4,4.6,4,65,0,10,15,3,1.57,3,7,-4,-0.88,-1.62,Matches,2d5e4e47
648,Ramón Sosa,py PAR,MFFW,Palmeiras,26-291,1999,15,688,46,42.5,7.6,7,73,2,8,22,1,2.13,9,5,+4,+0.52,-0.73,Matches,2d3417a1
649,Yeferson Soteldo,ve VEN,MF,Fluminense,28-353,1997,12,520,43,32.1,5.8,5,74,1,7,22,2,1.75,7,9,-2,-0.35,-0.92,Matches,bbb6c951
650,Renê Sousa,br BRA,FW,Vitória,22-254,2003,10,682,68,44.6,7.6,6,82,2,4,48,0,1.20,11,8,+3,+0.40,+1.14,Matches,62e5af12
651,Gabriel Souza,br BRA,MF,Vasco da Gama,21-164,2005,2,25,13,1.5,0.3,0,,0,2,13,1,0.00,0,0,0,0.00,+0.39,Matches,56a85c3b
652,Hugo Souza,br BRA,GK,Corinthians,27-138,1999,16,1440,90,88.9,16.0,16,90,16,0,,0,1.31,16,16,0,0.00,+0.50,Matches,c02e5af1
653,Igor Vinícius de Souza,br BRA,DF,Santos,29-078,1997,13,1169,90,72.2,13.0,13,90,12,0,,2,1.38,21,19,+2,+0.15,+1.15,Matches,ec95088d
654,Claudio Spinelli,ar ARG,FW,Vasco da Gama,28-362,1997,12,494,41,30.5,5.5,4,83,2,8,21,2,1.17,9,7,+2,+0.36,+1.08,Matches,578606a7
655,Raul Steffens,br BRA,GK,Botafogo–RJ,28-325,1997,8,676,85,44.2,7.5,7,90,7,1,46,6,1.25,11,17,-6,-0.80,-1.43,Matches,32e3faa6
656,Everaldo Stum,br BRA,FW,Fluminense,34-348,1991,1,1,1,0.1,0.0,0,,0,1,1,0,3.00,0,0,0,0.00,-0.28,Matches,0ac3d7d8
657,Everaldo Stum,br BRA,FW,Bahia,34-348,1991,14,626,45,40.9,7.0,4,75,1,10,33,1,1.36,11,9,+2,+0.29,+0.29,Matches,0ac3d7d8
658,Caio Suassuna,br BRA,FW,Bahia,19-087,2007,1,7,7,0.5,0.1,0,,0,1,7,2,1.00,0,0,0,0.00,-0.12,Matches,263254a5
659,Bruno Tabata,br BRA,MF,Internacional,29-080,1997,8,178,22,11.0,2.0,1,45,0,7,19,8,0.63,3,3,0,0.00,+0.06,Matches,33fdf90d
660,Rubens Tadeu,br BRA,MF,Chapecoense,23-082,2003,7,156,22,10.2,1.7,0,,0,7,22,6,0.43,3,2,+1,+0.58,+1.69,Matches,1da9fcb1
661,Gabriel Taliari,br BRA,FW,Remo,29-066,1997,6,435,73,26.9,4.8,5,80,0,1,35,0,0.83,6,7,-1,-0.21,+0.32,Matches,75a16442
662,Gonzalo Tapia,cl CHI,FW,São Paulo,24-120,2002,11,278,25,17.2,3.1,2,62,0,9,17,6,1.00,2,5,-3,-0.97,-1.37,Matches,cdbd6b8a
663,Diego Tarzia,ar ARG,MF,Vitória,23-053,2003,12,312,26,20.4,3.5,1,64,0,11,23,0,1.25,5,6,-1,-0.29,-0.07,Matches,69b553f7
664,Lucas Taverna,br BRA,DF,Coritiba,20-041,2006,3,117,39,7.2,1.3,1,59,0,2,29,1,2.00,3,3,0,0.00,0.00,Matches,6368347a
665,Duplexe Tchamba,cm CMR,DF,Remo,27-343,1998,14,1255,90,77.5,13.9,14,90,13,0,,0,1.07,15,21,-6,-0.43,+0.06,Matches,75926036
666,Tchê Tchê,br BRA,MF,Vasco da Gama,33-292,1992,12,779,65,48.1,8.7,10,75,3,2,15,6,1.50,11,15,-4,-0.46,-0.14,Matches,5f2caf8f
667,Alex Telles,br BRA,DFMF,Botafogo–RJ,33-185,1992,15,1156,77,75.6,12.8,15,77,8,0,,0,1.33,21,24,-3,-0.23,-0.96,Matches,e73c9bb2
668,Douglas Telles,br BRA,FW,Flamengo,19-017,2007,0,,,,,0,,0,0,,2,,,,,,,Matches,2303801d
669,Victor Teodoro,br BRA,FW,Athletico–PR,19-060,2007,0,,,,,0,,0,0,,1,,,,,,,Matches,49339c1d
670,Carlos Terán,co COL,DF,Athletico–PR,25-267,2000,12,756,63,46.7,8.4,10,72,6,2,19,0,1.42,10,9,+1,+0.12,-0.40,Matches,324509e2
671,Miguel Terceros,bo BOL,MFFW,Santos,22-054,2004,8,401,50,24.8,4.5,5,70,0,3,17,6,1.38,9,10,-1,-0.22,-0.08,Matches,d66ed604
672,Tetê,br BRA,FW,São Paulo,19-065,2007,4,87,22,5.4,1.0,0,,0,4,22,2,0.25,0,4,-4,-4.14,-4.55,Matches,d377cac1
673,Tetê,br BRA,MFFW,Grêmio,26-123,2000,14,630,45,38.9,7.0,8,60,0,6,26,2,1.14,9,11,-2,-0.29,-0.19,Matches,7120a04d
674,Thaciano,br BRA,MFFW,Santos,31-037,1995,11,534,49,33.0,5.9,6,78,1,5,14,0,1.18,9,7,+2,+0.34,+0.75,Matches,139113e4
675,Thomazella,br BRA,GK,Mirassol,35-304,1990,0,,,,,0,,0,0,,2,,,,,,,Matches,af976211
676,Rafael Thyere,br BRA,DF,Chapecoense,33-032,1993,2,104,52,6.8,1.2,2,52,0,0,,3,0.00,1,2,-1,-0.87,+0.08,Matches,e2a29d9d
677,Tiago,br BRA,MF,Grêmio,18-136,2008,1,26,26,1.6,0.3,0,,0,1,26,10,0.00,0,1,-1,-3.46,-3.35,Matches,aa98440f
678,Guilherme Tinga,br BRA,DF,Coritiba,32-290,1993,11,862,78,53.2,9.6,10,83,8,1,34,2,1.00,13,16,-3,-0.31,-0.67,Matches,a8331ab0
679,Kauan Toledo,br BRA,MFFW,Botafogo–RJ,20-064,2006,3,183,61,12.0,2.0,2,69,0,1,45,3,1.33,2,2,0,0.00,0.00,Matches,2cc7bb98
680,Rafael Tolói,it ITA,DF,São Paulo,35-251,1990,5,450,90,27.8,5.0,5,90,5,0,,7,2.00,7,4,+3,+0.60,+0.60,Matches,c56dc39e
681,Félix Torres Caicedo,ec ECU,DF,Internacional,29-158,1997,12,950,79,58.6,10.6,10,90,10,2,25,2,1.17,12,12,0,0.00,+0.13,Matches,c0a8860f
682,Enzo Vágner,br BRA,FW,Coritiba,19-325,2006,1,18,18,1.1,0.2,0,,0,1,18,7,1.00,0,1,-1,-5.00,-5.06,Matches,65f923c0
683,Caio Valle,br BRA,MF,Botafogo–RJ,18-250,2007,0,,,,,0,,0,0,,6,,,,,,,Matches,146dcaf9
684,Vanderlan,br BRA,DF,RB Bragantino,23-284,2002,1,7,7,0.4,0.1,0,,0,1,7,4,3.00,0,0,0,0.00,-0.33,Matches,bd8432ff
685,Guillermo Varela,uy URU,DF,Flamengo,33-086,1993,14,1071,77,70.0,11.9,11,90,11,3,27,0,2.00,22,11,+11,+0.92,+0.14,Matches,5c961282
686,Raphael Veiga,br BRA,MF,Palmeiras,30-364,1995,0,,,,,0,,0,0,,1,,,,,,,Matches,6e5a3bc7
687,Lucas Veríssimo,br BRA,DF,Santos,30-351,1995,11,990,90,61.1,11.0,11,90,11,0,,2,1.36,16,16,0,0.00,+0.43,Matches,5eaf85b5
688,Victor,br BRA,GK,Bahia,20-046,2006,0,,,,,0,,0,0,,1,,,,,,,Matches,c7f65975
689,João Victor,br BRA,DF,Mirassol,28-289,1997,17,1530,90,100.0,17.0,17,90,17,0,,0,0.94,18,24,-6,-0.35,,Matches,d6d0c8bb
690,João Victor,br BRA,DF,Flamengo,19-168,2007,1,72,72,4.7,0.8,0,,0,1,72,0,3.00,2,0,+2,+2.50,+1.70,Matches,0eaa0f26
691,João Victor,br BRA,FW,Internacional,18-326,2007,0,,,,,0,,0,0,,4,,,,,,,Matches,d1764ccb
692,Marcos Victor,br BRA,DF,Bahia,24-174,2001,1,1,1,0.1,0.0,0,,0,1,1,9,3.00,0,0,0,0.00,-0.12,Matches,d714fc5a
693,Viery,br BRA,DF,Grêmio,21-167,2005,13,1168,90,72.1,13.0,13,90,12,0,,2,1.31,14,14,0,0.00,+0.60,Matches,73bec74e
694,Rodrigo Villagra,ar ARG,MF,Internacional,25-124,2001,13,1051,81,64.9,11.7,12,86,9,1,16,3,1.46,16,14,+2,+0.17,+0.65,Matches,b39ae7e1
695,Lucas Villalba,uy URU,MF,Botafogo–RJ,25-038,2001,9,358,40,23.4,4.0,3,54,0,6,33,4,1.22,10,5,+5,+1.26,+1.64,Matches,e0661fb5
696,Lucas Villalba,ar ARG,DF,Cruzeiro,31-303,1994,9,653,73,40.3,7.3,7,90,6,2,13,7,1.50,11,12,-1,-0.14,+0.14,Matches,2dc5144f
697,Néiser Villarreal,co COL,FW,Cruzeiro,21-055,2005,11,540,49,33.3,6.0,6,68,0,5,27,5,1.36,9,9,0,0.00,+0.33,Matches,9200fab7
698,Mathías Villasanti,py PAR,MF,Grêmio,29-145,1997,0,,,,,0,,0,0,,2,,,,,,,Matches,05b642f7
699,Ygor Vinhas,br BRA,GK,Remo,32-064,1994,0,,,,,0,,0,0,,14,,,,,,,Matches,1f3c2a77
700,Vinicius,br BRA,MF,Chapecoense,27-021,1999,3,128,43,8.4,1.4,1,65,0,2,32,8,0.33,1,2,-1,-0.70,+0.26,Matches,ab3ef9c4
701,Alix Vinicius,br BRA,DF,RB Bragantino,26-224,1999,15,1155,77,71.3,12.8,13,85,10,2,27,0,1.87,22,13,+9,+0.70,+1.28,Matches,2083298b
702,Carlos Vinícius,br BRA,FW,Grêmio,31-085,1995,17,1379,81,85.1,15.3,17,81,7,0,,0,1.18,18,21,-3,-0.20,-0.20,Matches,8b529245
703,Marcos Vinicius,br BRA,DFMF,Chapecoense,29-084,1997,9,517,57,33.8,5.7,5,68,2,4,44,6,0.44,6,12,-6,-1.04,-0.16,Matches,72cacb0d
704,Vitão,br BRA,DF,Flamengo,26-136,2000,6,301,50,19.7,3.3,3,90,2,3,11,11,1.83,4,4,0,0.00,-1.10,Matches,d4f034db
705,Vitão,br BRA,DF,Atlético Mineiro,18-106,2008,0,,,,,0,,0,0,,4,,,,,,,Matches,971e8602
706,Vitinho,br BRA,MF,Internacional,27-078,1999,17,1188,70,73.3,13.2,13,81,8,4,33,0,1.18,17,16,+1,+0.08,+0.49,Matches,06d4b2e4
707,Vitinho,br BRA,MF,Corinthians,32-252,1993,8,349,44,21.5,3.9,4,66,0,4,21,5,1.38,2,2,0,0.00,+0.07,Matches,a9e68c94
708,Vitinho,br BRA,DFMF,Botafogo–RJ,26-330,1999,15,1158,77,75.7,12.9,13,84,10,2,35,1,1.40,23,23,0,0.00,0.00,Matches,9295dc1c
709,João Vitor,br BRA,FW,Vasco da Gama,17-218,2008,3,35,12,2.2,0.4,0,,0,3,12,2,0.67,0,2,-2,-5.14,-4.86,Matches,0f687c73
710,João Vitor,br BRA,MF,Chapecoense,28-079,1998,11,595,54,38.9,6.6,7,75,0,4,18,5,0.45,6,9,-3,-0.45,+0.80,Matches,2954fbfc
711,Kauan Vitor,br BRA,FW,Vitória,20-003,2006,0,,,,,0,,0,0,,1,,,,,,,Matches,705fa555
712,Zé Vitor,br BRA,MF,Vitória,26-047,2000,9,581,65,38.0,6.5,6,83,3,3,28,2,1.00,10,9,+1,+0.15,+0.63,Matches,11283939
713,Kevin Viveros,co COL,FW,Athletico–PR,26-075,2000,17,1517,89,93.6,16.9,17,89,14,0,,0,1.76,24,17,+7,+0.42,+1.29,Matches,f40b94ba
714,Tiago Volpi,br BRA,GK,RB Bragantino,35-181,1990,11,990,90,61.1,11.0,11,90,11,0,,7,1.91,19,11,+8,+0.73,+1.01,Matches,fba79ac8
715,Wagner,br BRA,DF,Grêmio,26-330,1999,9,684,76,42.2,7.6,8,85,7,1,8,4,1.22,9,12,-3,-0.39,-0.39,Matches,25b28b59
716,Walace,br BRA,DF,Vasco da Gama,21-103,2005,0,,,,,0,,0,0,,5,,,,,,,Matches,664a3912
717,Walace,br BRA,MF,Cruzeiro,31-075,1995,0,,,,,0,,0,0,,5,,,,,,,Matches,26db8853
718,Wallace,br BRA,DF,Botafogo–RJ,19-039,2007,0,,,,,0,,0,0,,3,,,,,,,Matches,0249917e
719,Wallace,br BRA,MF,Flamengo,21-130,2005,6,48,8,3.1,0.5,0,,0,6,8,9,1.33,1,2,-1,-1.87,-2.85,Matches,b83bc030
720,Walter,br BRA,GK,Mirassol,38-212,1987,17,1530,90,100.0,17.0,17,90,17,0,,0,0.94,18,24,-6,-0.35,,Matches,8bae322b
721,Wanderson,br BRA,MF,Cruzeiro,31-254,1994,14,379,27,23.4,4.2,2,50,0,12,23,4,1.29,5,6,-1,-0.24,-0.02,Matches,5da33b33
722,José Welison,br BRA,MF,Remo,31-099,1995,15,870,58,53.7,9.7,9,83,3,6,21,1,1.13,12,17,-5,-0.52,-0.16,Matches,b6cb4d16
723,João Wellington,br BRA,MF,Cruzeiro,22-167,2004,3,59,20,3.6,0.7,1,53,0,2,3,9,0.33,1,3,-2,-3.05,-2.94,Matches,62e02b9b
724,Wendell,br BRA,FW,Vitória,20-291,2005,0,,,,,0,,0,0,,2,,,,,,,Matches,ad5524cf
725,Wendell,br BRA,DFMF,São Paulo,32-333,1993,12,767,64,47.3,8.5,8,83,4,4,27,5,1.25,11,9,+2,+0.23,+0.13,Matches,f9acca3a
726,Wermeson,br BRA,MF,Chapecoense,25-122,2001,0,,,,,0,,0,0,,1,,,,,,,Matches,48ceb959
727,Wéverton,br BRA,GK,Grêmio,38-187,1987,17,1530,90,94.4,17.0,17,90,17,0,,0,1.24,19,20,-1,-0.06,+1.94,Matches,81be82e9
728,William,br BRA,DF,Cruzeiro,31-076,1995,8,535,67,33.0,5.9,7,75,1,1,12,4,0.88,9,9,0,0.00,+0.33,Matches,d4d0a9ad
729,William,br BRA,DF,Cruzeiro,20-127,2006,0,,,,,0,,0,0,,1,,,,,,,Matches,bfc2db82
730,Willian,br BRA,MFFW,Grêmio,37-313,1988,8,332,42,20.5,3.7,2,50,0,6,39,2,1.13,7,2,+5,+1.36,+1.91,Matches,8b9ebd03
731,Willian,br BRA,MF,Coritiba,33-033,1993,10,475,48,29.3,5.3,5,71,1,5,24,8,1.70,6,5,+1,+0.19,+0.27,Matches,96f82d0a
732,Mateus Xavier,br BRA,MF,Santos,18-354,2007,1,5,5,0.3,0.1,0,,0,1,5,3,1.00,0,0,0,0.00,+0.17,Matches,55cc2965
733,Samuel Xavier,br BRA,DF,Fluminense,36-012,1990,12,965,80,59.6,10.7,11,86,6,1,17,5,1.50,15,14,+1,+0.09,-0.46,Matches,0c870df5
734,Young,br BRA,GK,São Paulo,24-103,2002,0,,,,,0,,0,0,,1,,,,,,,Matches,be817fc6
735,Ythallo,br BRA,DF,Botafogo–RJ,21-331,2004,1,45,45,2.9,0.5,1,45,0,0,,6,0.00,0,0,0,0.00,0.00,Matches,75558c64
736,Yuri,br BRA,MF,Mirassol,32-059,1994,6,323,54,21.1,3.6,4,67,1,2,27,6,1.33,2,7,-5,-1.39,-1.32,Matches,51762f49
737,Bruno Zapelli,ar ARG,MF,Athletico–PR,24-032,2002,15,683,46,42.2,7.6,8,62,0,7,26,1,1.73,10,6,+4,+0.53,+0.33,Matches,a70af595
738,Bernardo Zortea,br BRA,MF,Grêmio,19-089,2007,3,69,23,4.3,0.8,1,45,0,2,12,1,0.67,0,0,0,0.00,+0.17,Matches,8cc36186
739,Lukas Zuccarello,br BRA,MF,Vasco da Gama,19-198,2006,1,11,11,0.7,0.1,0,,0,1,11,1,0.00,0,0,0,0.00,+0.39,Matches,ad792e99